LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
BEL,FISHLAND,NLD,USD,A,2017,75805798.53,
BEL,FISHLAND,NLD,USD,A,2018,73900001.85,
BEL,FISHLAND,NLD,USD,A,2019,66223967.19,
BEL,FISHLAND,NLD,USD,A,2020,64279970.89,
BEL,FISHLAND,NLF,USD,A,1999,26998598.09,
BEL,FISHLAND,NLF,USD,A,2000,24422322.39,
BEL,FISHLAND,NLF,USD,A,2001,27583301.79,
BEL,FISHLAND,NLF,USD,A,2002,23122561.69,
BEL,FISHLAND,NLF,USD,A,2003,16305571.77,
BEL,FISHLAND,NLF,USD,A,2004,10310799.01,
BEL,FISHLAND,NLF,USD,A,2005,10209635.12,
BEL,FISHLAND,NLF,USD,A,2006,11288789.08,
BEL,FISHLAND,NLF,USD,A,2007,14779607.18,
BEL,FISHLAND,NLF,USD,A,2008,14168673.33,
BEL,FISHLAND,NLF,USD,A,2009,7225114.285,
BEL,FISHLAND,NLF,USD,A,2010,14936360.27,
BEL,FISHLAND,NLF,USD,A,2011,14384016.21,
BEL,FISHLAND,NLF,USD,A,2012,15683980.8,
BEL,FISHLAND,NLF,USD,A,2013,21449823.1,
BEL,FISHLAND,NLF,USD,A,2014,16627689.95,
BEL,FISHLAND,NLF,USD,A,2015,15396189.41,
BEL,FISHLAND,NLF,USD,A,2016,31365845.34,
BEL,FISHLAND,NLF,USD,A,2017,23599592.89,
BEL,FISHLAND,NLF,USD,A,2018,25867148.19,
BEL,FISHLAND,NLF,USD,A,2019,24244027.67,
BEL,FISHLAND,NLF,USD,A,2020,20433065.05,
CAN,FISHLAND,NLD,TONNE,A,1995,858039.2937,
CAN,FISHLAND,NLD,TONNE,A,1996,918663.197,
CAN,FISHLAND,NLD,TONNE,A,1997,977940.2554,
CAN,FISHLAND,NLD,TONNE,A,1998,994575.2403,
CAN,FISHLAND,NLD,TONNE,A,1999,1003062.592,
CAN,FISHLAND,NLD,TONNE,A,2000,1003499.788,
CAN,FISHLAND,NLD,TONNE,A,2001,1053337.66,
CAN,FISHLAND,NLD,TONNE,A,2002,1073988.451,
CAN,FISHLAND,NLD,TONNE,A,2003,1120060.318,
CAN,FISHLAND,NLD,TONNE,A,2004,1176228.549,
CAN,FISHLAND,NLD,TONNE,A,2005,1121948.814,
CAN,FISHLAND,NLD,TONNE,A,2006,1090407.277,
CAN,FISHLAND,NLD,TONNE,A,2007,1012152.767,
CAN,FISHLAND,NLD,TONNE,A,2008,937111.5289,
CAN,FISHLAND,NLD,TONNE,A,2009,960231.5314,
CAN,FISHLAND,NLD,TONNE,A,2010,951528.729,
CAN,FISHLAND,NLD,TONNE,A,2011,854258.275,C
CAN,FISHLAND,NLD,TONNE,A,2012,823562.3147,C
CAN,FISHLAND,NLD,TONNE,A,2013,863194.1453,C
CAN,FISHLAND,NLD,TONNE,A,2014,855620.9337,C
CAN,FISHLAND,NLD,TONNE,A,2015,838410.9741,C
CAN,FISHLAND,NLD,TONNE,A,2016,853006.3386,C
CAN,FISHLAND,NLD,TONNE,A,2017,827028.0865,C
CAN,FISHLAND,NLD,TONNE,A,2018,803172.1874,C
CAN,FISHLAND,NLD,TONNE,A,2019,743232.9421,C
CAN,FISHLAND,NLD,TONNE,A,2020,719249.0421,C
CAN,FISHLAND,NLD,USD,A,1995,1297832746,
CAN,FISHLAND,NLD,USD,A,1996,1158229275,
CAN,FISHLAND,NLD,USD,A,1997,1155200330,
CAN,FISHLAND,NLD,USD,A,1998,1086349341,
CAN,FISHLAND,NLD,USD,A,1999,1285841408,
CAN,FISHLAND,NLD,USD,A,2000,1439487557,
CAN,FISHLAND,NLD,USD,A,2001,1368216566,
CAN,FISHLAND,NLD,USD,A,2002,1399999069,
CAN,FISHLAND,NLD,USD,A,2003,1627407440,
CAN,FISHLAND,NLD,USD,A,2004,1749189258,
CAN,FISHLAND,NLD,USD,A,2005,1731402803,
CAN,FISHLAND,NLD,USD,A,2006,1693640767,
CAN,FISHLAND,NLD,USD,A,2007,1839324854,
CAN,FISHLAND,NLD,USD,A,2008,1784812115,
CAN,FISHLAND,NLD,USD,A,2009,1491531043,
CAN,FISHLAND,NLD,USD,A,2010,1772016519,
CAN,FISHLAND,NLD,USD,A,2011,2110147494,C
CAN,FISHLAND,NLD,USD,A,2012,2205827126,C
CAN,FISHLAND,NLD,USD,A,2013,2234972113,C
CAN,FISHLAND,NLD,USD,A,2014,2522797261,C
CAN,FISHLAND,NLD,USD,A,2015,2505952763,C
CAN,FISHLAND,NLD,USD,A,2016,2505044214,C
CAN,FISHLAND,NLD,USD,A,2017,2939337390,C
CAN,FISHLAND,NLD,USD,A,2018,2808134935,C
CAN,FISHLAND,NLD,USD,A,2019,2743439991,C
CAN,FISHLAND,NLD,USD,A,2020,1847986581,C
DNK,FISHLAND,NLD,TONNE,A,1995,1983927.8,
DNK,FISHLAND,NLD,TONNE,A,1996,1592185,
DNK,FISHLAND,NLD,TONNE,A,1997,1754779.3,
DNK,FISHLAND,NLD,TONNE,A,1998,1482864.5,
