,country_name,marine_protection_percent,biodiversity_percent,FAOSTAT,Aqua_Production,Fishland,Hours,Total subsidies (USD 2018)
31,Canada,3.25,32.97909090909091,105.8905,177642.27272727274,830205.8153181818,155398.72555555555,69117292.0
32,Cape Verde,,,,,,,704134.0
33,Central African Republic,,,15.3335,,,,
34,Chad,,,52.947,,,,
35,Chile,17.595000000000002,25.21,361.6655,1141728.8797272728,2551881.4545454546,23089.848888888886,0.0
36,Colombia,10.0175,54.24454545454546,24.962142857142858,112660.15045454545,45156.43442777778,,0.0
37,Comoros,,13.0,5.4208,,,6317.973333333332,0.0
38,Costa Rica,2.6816666666666666,48.64909090909091,4.983625,24192.95,15555.6143,,1461306.0
39,Croatia,6.7749999999999995,63.685454545454554,10.5485,,,110577.05888888889,0.0
40,Cuba,,68.68727272727273,5.887222222222222,,,416.03666666666663,0.0
41,Cyprus,8.575000000000001,43.192727272727275,1.1966666666666668,,,11101.325555555555,1336032.0
42,Cyprus No Mans Area,0.3625,6.998181818181819,8295.105333333335,59314342.46636364,13612704.909090908,6797793.585555556,3433436331.0
43,Czech Republic,,,,20696.399999999998,,,
44,Democratic Republic of the Congo,,,58.32899999999999,,,,
45,Denmark,18.034166666666664,86.95363636363636,89.83822222222223,37070.284545454546,727717.4545454546,400594.9277777778,54339882.0
46,Djibouti,,0.0,0.39580000000000004,,,444.4266666666667,0.0
47,Dominica,,0.0,0.19525,,,2097.5222222222224,548108.0
48,Dominican Republic,12.74,77.48818181818181,2.03875,,,,
49,Ecuador,12.834166666666667,69.12272727272727,108.59633333333333,,,,0.0
50,Egypt,,43.01,174.11222222222221,,,,0.0
51,El Salvador,,37.948181818181816,7.187250000000001,,,,0.0
52,Equatorial Guinea,,100.0,,,,85.05555555555556,0.0
53,Eritrea,,0.0,,,,,0.0
54,Estonia,19.224166666666665,97.67272727272729,9.869375000000002,798.103909090909,84375.52829454545,41649.11,34609527.0
55,Ethiopia,,,21.193,,,,
56,Faroe Islands,,13.639090909090912,,,,176981.86,
57,Federated States of Micronesia,,,,,,83.58999999999999,
58,Fiji,,16.55,5.014333333333333,,,5.372222222222223,7198193.0
59,Finland,11.717500000000001,60.17636363636364,47.648,13742.951818181818,137714.0,46217.97888888889,5560473.0
60,France,41.245,77.93181818181819,77.73922222222222,190049.98636363636,399057.5308727272,1034415.0255555556,87393046.0
61,Gabon,,62.790000000000006,4.726285714285714,,,,7429374.0
62,Gambia,,40.28545454545454,7.361714285714285,,,372.6477777777778,0.0
63,Georgia,0.67,35.64,8.197,,,5358.322222222222,0.0
64,Germany,45.333333333333336,76.44454545454545,34.800875000000005,33855.90909090909,216177.83245454545,171460.31777777776,17713137.0
65,Ghana,,19.56,55.226571428571425,,,19581.811111111114,63219654.0
66,Greece,4.6875,85.52,20.715777777777777,119182.38918181817,62094.20765636364,220481.4322222222,87456111.0
67,Greenland,4.429166666666666,29.364545454545453,,,,76071.84777777777,
68,Grenada,,24.73909090909091,0.2812222222222222,,,,1182512.0
69,Guam,23.78,3.53,,,,,
70,Guatemala,,43.46363636363637,5.9708571428571435,,,,0.0
71,Guinea,,69.28,21.6595,,,5988.834444444445,0.0
72,Guinea Bissau,,,,,,6642.402222222223,
73,Guyana,,,8.826,,,,0.0
74,Haiti,,17.950909090909093,2.8736666666666664,,,,0.0
75,Honduras,,41.01,8.086375,,,164.59444444444443,0.0
76,Hungary,,,11.263,16414.310818181817,,584.6733333333333,
77,Iceland,0.3866666666666667,14.715454545454547,135.399,15580.502181818183,1208843.3857500001,239523.99000000002,0.0
78,India,0.06,19.18,1117.2427777777777,5649004.545454546,,18695.661111111112,90487776.0
79,Indonesia,2.6350000000000002,21.373636363636365,2152.8632222222222,13209433.710727273,6299594.888555556,4332.721111111111,141322801.0
80,Iran (Islamic Republic of),,68.0,121.6335,,,14834.264444444445,0.0
81,Iraq,,0.0,12.6702,,,,0.0
82,Ireland,1.8008333333333333,78.70363636363636,36.01455555555556,39104.07818181818,244730.42363333335,253953.52555555556,18986601.0
83,Israel,0.06916666666666667,13.72181818181818,3.03425,18972.545454545456,,21023.632222222222,0.0
84,Italy,5.615833333333334,72.65545454545455,39.187,146027.14563636362,188734.14156363637,1527030.1688888888,103927228.0
85,Jamaica,,26.6,2.5865,,,,16499732.0
86,Japan,8.772499999999999,65.35909090909091,514.4674444444445,1032493.8167272728,3543972.6363636362,59831.05777777778,631740243.0
87,Jordan,,,0.385,,,,0.0
88,Kazakhstan,,,18.804499999999997,,,,
89,Kenya,,43.1,18.501555555555555,,,211.71222222222224,0.0
90,Kiribati,,32.92,13.621333333333334,,,,639436.0
91,Kuwait,,21.683636363636364,0.9603999999999999,,,,0.0
92,Kyrgyzstan,,,1.214,,,,
93,Laos,,,,,,,
94,Latvia,16.3675,96.19,17.258285714285712,692.0860909090909,119201.56509090909,35727.374444444446,9259273.0
95,Lebanon,,10.493636363636364,0.7655000000000001,,,,0.0
96,Lesotho,,,0.885,,,,
97,Liberia,,96.66,2.024142857142857,,,2799.213333333333,1267807.0
98,Libya,,0.0,5.4704999999999995,,,354.1711111111111,0.0
99,Liechtenstein,,,,,,,
100,Lithuania,20.919166666666666,79.23727272727272,12.177888888888889,3920.7043636363637,75227.93613363637,27410.194444444445,368085.0
101,Luxembourg,,,,,,,
102,Madagascar,,16.740909090909092,16.779555555555554,,,15520.003333333334,0.0
103,Malawi,,,74.6875,,,,
104,Malaysia,,13.71,219.08522222222223,485560.99154545454,,61610.07666666666,74825408.0
105,Maldives,,0.0,21.808500000000002,,,,17437887.0
106,Mali,,,100.001,,,,
107,Malta,5.64,74.80181818181819,1.0888571428571427,,,8531.413333333334,3588461.0
108,Marshall Islands,,7.619999999999999,,,,,
109,Mauritania,,37.24,65.617125,,,728.9722222222222,1621495.0
110,Mauritius,,11.06,2.011375,,,25.351111111111113,0.0
111,Mexico,11.698333333333332,59.14909090909091,195.82344444444442,196932.4377272727,1462056.9149090908,542.5188888888889,23585489.0
112,Moldova,,,,,,,
113,Monaco,,,,,,,0.0
114,Mongolia,,,0.049,,,8.396666666666667,
115,Montenegro,,3.238181818181818,0.32342857142857145,,,2256.1400000000003,0.0
116,Morocco,,41.21818181818182,161.15787500000002,,,123318.0711111111,8047876.0
117,Mozambique,,72.17909090909092,29.177222222222223,,,20934.686666666665,
118,Myanmar,,12.893636363636363,332.246,,,44.76777777777778,0.0
119,Namibia,,82.9718181818182,52.56577777777778,,,,4133740.0
120,Nauru,,0.0,,,,616.9411111111111,0.0
121,Nepal,,,65.212,,,,
122,Netherlands,24.595,94.82818181818183,52.041666666666664,53073.03636363637,356471.3121,455756.0188888889,82563795.0
123,New Zealand,29.81,46.846363636363634,60.358111111111114,108140.94090909092,422496.8756181818,112594.09777777777,28166226.0
124,Nicaragua,,49.95,8.40325,,,,0.0
125,Niger,,,19.9805,,,,
126,Nigeria,,0.0,129.7,,,6320.097777777778,0.0
127,North Korea,,,,,,113.35666666666667,
128,Northern Cyprus,,,,,,9.006666666666668,
129,Northern Mariana Islands,26.87,47.93999999999999,,,,,
130,Norway,0.8175,54.06272727272728,413.29188888888893,1307226.167090909,2165830.158909091,305422.0888888889,58254826.0
131,Oman,,7.070000000000001,35.88757142857143,,,,32075591.0
132,Pakistan,,14.58,71.18133333333333,,,15.812222222222223,0.0
133,Palau,,65.05909090909091,,,,,0.0
134,Panama,,23.46,18.741666666666667,,,,0.0
135,Papua New Guinea,,1.89,33.765625,,,,0.0
136,Paraguay,,,11.398,,,,
137,Peru,0.4608333333333334,51.63999999999999,491.84669999999994,112039.38063636362,5197518.0121818185,568.5722222222223,0.0
138,Philippines,,37.77454545454545,498.6495555555556,2379939.2542727273,,,86620874.0
139,Poland,24.3,87.32,40.89966666666667,37928.26590909091,125456.19846363636,95358.46777777777,9907748.0
140,Portugal,3.705,66.57727272727273,22.67911111111111,11200.587727272727,191886.53884545455,150715.26888888888,86191615.0
141,Puerto Rico,1.86,36.74,,,,,
142,Qatar,,59.99,,,,1087.5988888888887,0.0
143,Romania,15.789166666666667,88.6,2.482125,,,848.6722222222222,737947.0
144,Russian Federation,1.5616666666666665,23.569999999999997,519.8551111111111,179485.27272727274,,1150788.468888889,1844332.0
145,Rwanda,,,24.268,,,,
146,Saint Kitts and Nevis,,23.683636363636364,8.30142857142857,,,2277.0566666666664,
147,Saint Lucia,,26.25,0.29814285714285715,,,,
148,Saint Vincent and the Grenadines,,26.33,4.686444444444445,,,5350.434444444445,
149,Samoa,,54.15,1.3132499999999998,,,98.00999999999999,108739.0
150,San Marino,,,,,,,
151,Sao Tome and Principe,,82.49,1.5443333333333333,,,,
152,Saudi Arabia,2.61,25.31,14.269857142857143,,,6117.42,0.0
153,Senegal,,23.255454545454544,57.88325,,,62549.57444444445,17042253.0
154,Seychelles,,29.76,17.0195,,,,499973.0
155,Sierra Leone,,31.64272727272727,28.975857142857144,,,9.809999999999999,0.0
156,Singapore,,3.25,,,,966.3844444444444,0.0
157,Slovakia,,,3.5479999999999996,1683.255818181818,,,
158,Slovenia,3.195,58.56818181818182,0.24075000000000002,1539.7545454545455,288.5513327272727,2677.692222222222,70948.0
159,Solomon Islands,,3.2072727272727275,7.029777777777778,,,,
160,Somalia,,0.0,,,,1274.0377777777778,0.0
161,South Africa,9.383333333333333,41.982727272727274,64.36444444444444,,,126644.70111111112,25388559.0
162,South Korea,,,,,,147884.5011111111,
163,South Sudan,,,,,,,
164,Spain,8.977500000000001,77.0909090909091,139.19122222222222,288241.035,822162.63106,998465.5499999999,85922566.0
165,Sri Lanka,,49.094545454545454,56.56144444444444,,,,32800950.0
166,Sudan,,21.804545454545455,5.92,,,,0.0
167,Suriname,,74.24,8.4262,,,,0.0
168,Sweden,11.765833333333333,58.21454545454546,31.01842857142857,13039.236363636364,188292.61496363636,120217.19777777778,27026406.0
169,Switzerland,,,1.7879999999999998,1671.109090909091,,21.678888888888892,
170,Syria,,,,,,,0.0
171,Taiwan,,,,307282.0917272727,843787.3777363636,120499.74777777778,592949908.0
172,Tajikistan,,,1.4689999999999999,,,,
173,Thailand,,47.53999999999999,293.96,1025829.5336363636,1475389.5555555555,5268.687777777778,251385952.0
174,Togo,,,3.071875,,,14.303333333333333,120091.0
175,Tonga,,19.17,,,,,653445.0
176,Trinidad and Tobago,,8.49,1.8658571428571427,,,,
177,Tunisia,,36.19090909090909,13.670888888888888,,,3226.57,64122573.0
178,Turkey,,3.85,,265267.9636363636,363007.04545454547,124840.06777777779,52629188.0
179,Turkmenistan,,,7.519,,,,
180,Tuvalu,,,,,,,0.0
181,Uganda,,,171.73633333333333,,,,
182,Ukraine,3.2816666666666663,30.74,17.659333333333333,,,14477.301111111112,40267758.0
183,United Arab Emirates,,44.61181818181819,9.43225,,,10.794444444444444,
184,United Kingdom of Great Britain and Northern Ireland,22.087500000000002,84.6809090909091,100.23333333333333,215084.49381818183,665122.5997818182,707599.3933333333,64386296.0
185,United Republic of Tanzania,,52.08,60.227555555555554,,,,
186,United States Virgin Islands,0.83,31.0,,,,,
187,United States of America,19.080833333333334,31.578181818181818,600.3011111111111,443636.4274545454,4984093.636363637,607511.7455555556,200996604.0
188,Uruguay,0.45166666666666666,44.32818181818182,7.352222222222222,,,115436.98000000001,0.0
189,Uzbekistan,,,51.462,,,,
190,Vanuatu,,3.3,6.955250000000001,,,2556.2744444444447,4008641.0
191,Venezuela (Bolivarian Republic of),,32.64,29.706666666666667,,,408.3155555555556,0.0
192,Viet Nam,,21.740909090909092,775.3925,3582743.333636364,2418550.5714285714,13120.29111111111,0.0
193,Western Sahara,,,,,,,
194,Yemen,,30.64,24.804142857142857,,,,37051455.0
195,Zambia,,,50.8885,,,,
196,Zimbabwe,,,11.712,,,,
