Indicator 3 Positive,"Total marine protected areas as share of exclusive economic zone, %",,Share of Subsidies to SSF,,"Marine protected area designated with IUCN management objectives I-III which generally preclude commercial fishing and other extractive industries, as share of exclusive economic zone, %",,Growth rate MPAs,,Bonus points,,Indicator 3 Negative,Overfishing Index,,Fuel subsidies,,Thrawling,,,Indicator 2,Total commitment score,Indicator 1,Total vulnerability score,,Indicator 3,Total policies and action score
Mayotte,3,Turkey,1,Montserrat,1,Réunion,1,Equatorial Guinea,0.1,,El Salvador,0,Thailand,-3,Guinea,-3,,,Iran,0,JORDAN,-1,48,Croatia,1.5
Montserrat,1,United Arab Em,2,New Caledonia,1,Romania,2,Eritrea,0.1,,Equatorial Guinea,0,Timor Leste,0,Guinea Bissau,-3,,,Guatemala,1,KENYA,0,182,Cuba,0.75
New Caledonia,3,Viet Nam,2,Niue,1,Russia,2,Estonia,0.2,,Eritrea,0,Turkey,-3,Guyana,0,,,Guinea,2,KIRIBATI,-1.5,50,Curacao,-0.142857143
Niue,1,Yemen,2,Norfolk Island,2,Saint Barthélemy,1,Eswatini,0,,Estonia,1,Untd Arab Em,0,Haiti,0,,,Guinea-Bissau,2,"KOREA, DEM. REP.",0,49,Cyprus,-3
Norfolk Island,3,Albania,2,Northern Mariana Islands,1,Saint Helena,3,Ethiopia,0,,Eswatini,0,Viet Nam,0,Honduras,-3,,,Guyane,1,"KOREA, REP.",0,302,Cyprus No Mans Area,0
Northern Mariana Islands,2,Belgium,1,Peru,1,Saint Martin,1,Falkland Islands (Malvinas),0,,Ethiopia,0,Yemen,-3,Hungary,-3,,,Haiti,1,KUWAIT,-1,303,Czech Republic,0
Peru,1,Bosnia Herzg,1,Pitcairn,1,Samoa,1,Faroe Islands,0.2,,Falkland Islands (Malvinas),0,Albania,-3,Iceland,-3,,,Honduras,0,LATVIA,-1,231,Czechia,0
Pitcairn,3,Croatia,2,Puerto Rico,1,Saudi Arabia,1,Fiji,0,,Faroe Islands,0,Belgium,-3,India,-3,,,Hungary,0,LEBANON,-1,232,Democratic People's Republic of Korea,0
Puerto Rico,1,Croatia,2,Réunion,1,Sint Maarten,1,Finland,0.2,,Fiji,0,Bosnia Herzg,0,Indonesia,-3,,,Iceland,0,LIBERIA,0,233,Democratic Republic of the Congo,-0.142857143
Réunion,1,Denmark,1,Romania,1,Slovenia,1,France,0.2,,Finland,1,Bulgaria,-3,Iran (Islamic Republic of),-3,,,India,3,LIBYA,-1.5,6,Denmark,0.5
Romania,2,Estonia,1,Russia,1,South Africa,1,French Guyana,0,,France,0,Croatia,0,Iraq,0,,,Indonesia,1,LITHUANIA,0,104,Djibouti,-0.25
Russia,1,Finland,1,Saint Helena,1,South Georgia and the South Sandwich Islands,1,French Polynesia,0,,French Guyana,0,Denmark,-3,Ireland,-3,,,Iraq,0,"MACAO SAR, CHINA",-1,183,Dominica,1
Saint Helena,2,France,2,Saint Barthélemy,1,Spain,2,French Southern Territories,0,,French Polynesia,0,Estonia,-3,Israel,-3,,,Ireland,0,MADAGASCAR,-1,202,Dominican Republic,0.4
Saint Barthélemy,3,Georgia,1,Sint Maarten,1,Svalbard and Jan Mayen,1,Gabon,0,,French Southern Territories,0,Finland,-3,Italy,-3,,,Israel,0,MALAYSIA,-1,185,Ecuador,0
Sint Maarten,1,Germany,1,Saint Pierre and Miquelon,1,Sweden,3,Gambia,0,,Gabon,0,France,-3,Jamaica,0,,,Italy,0,MALDIVES,-1,234,Egypt,0.5
Saint Pierre and Miquelon,1,Greece,2,Saudi Arabia,1,Tokelau,1,Georgia,0,,Gambia,1,Georgia,0,Japan,-3,,,Jamaica,0,MALTA,0,186,El Salvador,0.75
Saudi Arabia,1,Iceland,1,South Africa,1,Turks and Caicos Islands,1,Germany,0.2,,Georgia,2,Germany,-3,Jordan,0,,,Japan,0,MAURITANIA,-1,105,Equatorial Guinea,0.5
South Africa,2,Ireland,1,South Georgia and the South Sandwich Islands,1,Ukraine,1,Ghana,0.2,,Germany,0,Greece,-3,Kazakhstan,0,,,Jordania,0,MAURITIUS,-1,106,Eritrea,0
South Georgia and the South Sandwich Islands,3,Italy,2,Svalbard and Jan Mayen,2,United Kingdom,3,Gibraltar,0,,Ghana,0,Iceland,1,Kenya,1,,,Kazakhstan,0,MEXICO,0,7,Estonia,0
Svalbard and Jan Mayen,1,Latvia,1,Tokelau,1,United States,1,Greece,0.2,,Gibraltar,0,Ireland,-3,Kiribati,0,,,Kenya,0,"MICRONESIA, FED. STS.",-1.5,235,Eswatini,0
Tokelau,1,Lithuania,1,Turks and Caicos Islands,1,United States Virgin Islands,1,Greenland,0,,Greece,0,Italy,-3,Kuwait,0,,,Kiribati,0,MONTENEGRO,0,236,Ethiopia,1.666666667
Turks and Caicos Islands,1,Malta,1,Ukraine,1,Uruguay,1,Grenada,0,,Greenland,0,Latvia,-3,Kyrgyzstan,0,,,Koweit,0,MOROCCO,-1,51,Faeroe Islands,1.25
Ukraine,1,Monaco,1,United States Virgin Islands,1,,,Guadeloupe,0,,Grenada,0,Lithuania,-3,Latvia,-3,,,Kyrgyzstan,0,MOZAMBIQUE,-1,52,Falkland Islands (Malvinas),-1.5
United States Virgin Islands,1,Montenegro,2,Wallis and Futuna,1,,,Guam,0,,Guadeloupe,0,Malta,-3,Lebanon,0,,,Laos,0,MYANMAR,-1,237,Faroe Islands,1
Wallis and Futuna,1,Netherlands,1,Areas beyond national jurisdiction,1,,,Guatemala,0.1,,Guam,0,Monaco,0,Lesotho,0,,,Latvia,0,NAMIBIA,0,304,Federated States of Micronesia,0
Areas beyond national jurisdiction,1,Norway,2,World,1,,,Guernsey,0,,Guatemala,-1,Montenegro,1,Liberia,-3,,,Lebanon,0,NETHERLANDS,0,167,Fiji,0.142857143
World,2,Poland,1,,,,,Guinea,0,,Guernsey,0,Netherlands,-3,Libya,-3,,,Lesotho,0,NEW ZEALAND,-1,8,Finland,0.142857143
,,Portugal,1,,,,,Guinea-Bissau,0,,Guinea,0,Norway,-3,Lithuania,-3,,,Liberia,4,NICARAGUA,-1,9,France,0.75
,,Romania,2,,,,,Guyana,0.1,,Guinea-Bissau,0,Poland,-3,Luxembourg,0,,,Libya,0,NIGERIA,-1,53,French Guiana,1.25
,,Russian Federation,1,,,,,Haiti,0,,Guyana,0,Portugal,-3,Madagascar,-3,,,Liechtenstein,0,NORWAY,-1,54,French Polynesia,2.333333333
,,Slovenia,1,,,,,Heard and McDonald Islands,0,,Haiti,0,Romania,-3,Malawi,0,,,Lithuania,0,OMAN,-1,55,French Southern and Antarctic Lands,0
,,Spain,1,,,,,Holy See,0.2,,Heard and McDonald Islands,0,Russian Federation,-3,Malaysia,-3,,,Luxembourg,0,PAKISTAN,-1,239,French Southern Territories,-0.25
,,Sweden,1,,,,,Honduras,0.2,,Holy See,0,Slovenia,-3,Maldives,0,,,North Macedonia,0,PANAMA,-1,107,Gabon,1.5
,,Ukraine,3,,,,,Hungary,0.2,,Honduras,0,Spain,-3,Mali,0,,,Madagascar,1,PAPUA NEW GUINEA,-1.5,108,Gambia,0.428571429
,,United Kingdom,1,,,,,Iceland,0.2,,Hungary,0,Sweden,-3,Malta,-3,,,Malawi,1,PERU,-1,56,Georgia,0.142857143
,,Canada,1,,,,,India,0.2,,Iceland,0,Ukraine,-3,Marshall Islands,0,,,Malaysia,1,PHILIPPINES,-1,10,Germany,-0.75
,,Mexico,2,,,,,Indonesia,0.2,,India,0,United Kingdom,-3,Mauritania,-3,,,Maldives,2,POLAND,-1,109,Ghana,1.25
,,USA,2,,,,,Iran (Islamic Republic of),0,,Indonesia,-1,Canada,-3,Mauritius,-3,,,Mali,0,PORTUGAL,-1,57,Gibraltar,-0.142857143
,,Australia,2,,,,,Iraq,0,,Iran (Islamic Republic of),2,Mexico,-3,Mexico,-3,,,Malta,0,QATAR,-1.5,11,Greece,0.2
,,Fiji,2,,,,,Ireland,0.2,,Iraq,0,USA,-3,Mongolia,-3,,,Marshall Islands,0,ROMANIA,-1,58,Greenland,0
,,Kiribati,1,,,,,Isle of Man,0,,Ireland,-1,Australia,-3,Montenegro,-3,,,Mauritania,1,RUSSIAN FEDERATION,-1,187,Grenada,1.25
,,Marshall Is,1,,,,,Israel,0,,Isle of Man,0,Fiji,-3,Morocco,-3,,,Mauritius,2,SAMOA,-1,59,Guadeloupe,0.8
,,Micronesia,1,,,,,Italy,0.2,,Israel,0,Kiribati,-3,Mozambique,-3,,,Mexico,1,SÃO TOMÉ AND PRINCIPE,-1,60,Guam,0.5
,,Nauru,1,,,,,Jamaica,0,,Italy,-1,Marshall Is,0,Myanmar,-3,,,Micronesia,0,SAUDI ARABIA,0,188,Guatemala,1
,,Palau,1,,,,,Japan,0.2,,Jamaica,0,Micronesia,0,Namibia,0,,,Moldova,0,SENEGAL,0,64,Guernsey,-0.5
